학교명,설립구분,지역,학부 정원내 재학생수,학부 정원내외 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,학부 및 대학원 재학생수,등록금(원),운영수입(세입총액)(원),[1.3] 세입 중 등록금 비율,기부금(원),운영수입(세입총액)(원),[1.3] 세입 중 기부금 비율,법인전입금(원),운영수입(원),[1.3] 세입 중 법인전입금 비율(사립대),법정부담금 부담액(원),법정부담금 기준액(원),[1.3] 법정부담금 부담률(사립대),법인전입금(원),법인 일반회계 재정규모(원),[1.3] 법인 재정규모 대비 법인전입금 비율(사립대),총교육비(원),등록금(원),[1.3] 교육비 환원율,[1.5] 학생 충원 성과,(취업자+창업자+진학자) 수(명),취·창업 및 진학대상자 수(명),[1.5] 졸업생 진로 성과,전임교원 확보율(%),겸임교원 확보율(%),[3.1] 전임교원 및 겸임교원 확보율,강사료 계(원),강의시간수 계(시간),[3.3] 강사 강의료,교내연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교내연구비,등재(후보)지 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 등재(후보)지 논문 실적,SCI급 논문 건수(건),전임교원수(명),[3.4] 전임교원 1인당 SCI급 논문 실적,저역서수(건),전임교원수(명),[3.4] 전임교원 1인당 저역서 실적,교외연구비(천원),전임교원수(명),[3.4] 전임교원 1인당 교외연구비,[3.4] 연구성과 기준값 대비 실적,학부 및 대학원 재학생수,직원수(명),[3.5] 직원 1인당 학생수,장학금(원),등록금(원),[4.1] 장학금 비율,수용가능인원(명),재학생수(명),[4.5] 기숙사 수용률 I,내국인 입사 인원(명),내국인 재학생수(명),[4.5] 기숙사 수용률 II,자료구입비(원),학생수(명),[4.6] 재학생 1인당 연간 자료구입비(결산),도서관직원수(명),학부 및 대학원 재학생수,"[4.6] 재학생 1,000명당 도서관 직원수"
경희대학교,사립,서울,20048,25573,34332,34332,34332,3.03069E+11,4.80024E+11,63.13633,11617239233,4.80024E+11,2.42013,13164628500,4.80024E+11,2.74249,13164628500,20855588308,63.12278,13164628500,20191323372,65.19943,6.01344E+11,3.03069E+11,198.41793,127.76278,3728,5398,69.06261,64.7,4,68.7,3512205960,59265.1,59262.6345,17603857,1395,12619.25232,598.5135,1395,0.42904,978.8631,1395,0.70169,105.6183,1395,0.07571,167246951,1395,119890.28745,28.5106,34332,1170,29.34358,36655527144,1.91437E+11,19.14758,4946,28963,17.07696,3910,23848,16.3955,7220329122,33866,213202.89145,41,34332,1.19422
계명대학교,사립,대구,17957,20491,22419,22419,22419,1.63379E+11,3.19981E+11,51.05899,4022610428,3.19981E+11,1.25714,7140666328,3.19981E+11,2.23159,7140666328,11293959860,63.22553,7140666328,9430223580,75.72107,2.89244E+11,1.63379E+11,177.03856,109.5541,2508,4411,56.85785,63.9,4,67.9,1443037500,19153,75342.63561,3208000,837,3832.73596,472.0471,837,0.56397,280.3535,837,0.33495,91.4994,837,0.10931,39960231,837,47742.21146,14.90655,22419,508,44.13188,27081700018,1.4584E+11,18.56943,2932,21849,13.41937,1855,19917,9.31365,2732589520,22082,123747.37433,25.5,22419,1.13742
고려대학교,사립,서울,16526,21772,32180,32180,32180,3.20676E+11,6.77185E+11,47.35428,85525943607,6.77185E+11,12.62962,15156260780,6.77185E+11,2.23812,15021260780,24163041362,62.16626,15156260780,30405546820,49.84702,9.92706E+11,3.20676E+11,309.56654,134.73606,2974,3855,77.14656,77.3,4,81.3,2534531800,42918,59055.21692,24371106,1601,15222.42723,475.6851,1601,0.29711,1349.1166,1601,0.84267,61.9031,1601,0.03866,464860251,1601,290356.18425,47.38237,32180,1180,27.27118,38897349713,1.61405E+11,24.09926,3301,28663,11.51658,2163,24845,8.70597,9668812421,30683,315119.52615,39.9,32180,1.2399
고려대학교(세종),사립,충남,5692,6714,7671,7671,7671,63446378480,1.05754E+11,59.99455,1183558661,1.05754E+11,1.11916,2232501460,1.05754E+11,2.11104,2232501460,3701109228,60.31979,2232501460,30405546820,7.34241,1.47411E+11,63446378480,232.33948,113.73877,861,1318,65.32625,69.4,2,71.4,686835200,12448,55176.34961,1955718,257,7609.79766,85.2943,257,0.33188,99.3509,257,0.38657,11.0457,257,0.04297,35533818,257,138263.88326,23.22254,7671,240,31.9625,9816597645,51435498700,19.08525,2608,7319,35.63328,2374,6731,35.26964,723026080,7322,98747.07456,9,7671,1.17324
고신대학교,사립,부산,3153,3263,3919,3919,3919,21362326642,56335913351,37.91955,4294155806,56335913351,7.62241,4669270186,56335913351,8.28826,4669270186,3328728714,140.27187,4669270186,5515950529,84.65032,53337709567,21362326642,249.68118,94.96507,471,673,69.98514,67.1,2.5,69.59999,14857500,277,53637.18411,384060,252,1524.04761,68.2624,252,0.27088,14.3834,252,0.05707,19.4611,252,0.07722,1219762,252,4840.32539,3.68663,3919,149,26.30201,3720083652,16465607688,22.59305,1659,3769,44.01698,860,3713,23.16186,746288147,3613,206556.36507,4.8,3919,1.2248
광신대학교,사립,광주,398,436,956,956,956,5519421068,10270233740,53.74192,387495254,10270233740,3.77299,2392284214,10270233740,23.29337,613538701,393857850,155.77668,2392284214,7152412299,33.44723,8309526859,5519421068,150.55069,96.03524,61,76,80.26315,89.2,4,93.2,79380000,1470,54000.0,49260,50,985.2,27.3,50,0.546,3,50,0.06,4.7846,50,0.09569,0,50,0,3.15486,956,29,32.96551,559645477,2521581000,22.19422,224,955,23.45549,22,904,2.43362,67756630,965,70214.12435,2.5,956,2.61506
광운대학교,사립,서울,6723,8414,10060,10060,10060,79799260160,1.22538E+11,65.12196,1165167544,1.22538E+11,0.95086,225000000,1.22538E+11,0.18361,225000000,5044274112,4.4605,225000000,2372127622,9.48515,1.53548E+11,79799260160,192.41829,119.551,1134,1723,65.81543,62.1,4,66.09999,619416000,11250,55059.2,3675248,307,11971.49185,167.9164,307,0.54695,168.1007,307,0.54755,14.6895,307,0.04784,44845320,307,146075.96091,27.91899,10060,268,37.53731,10527254618,60812049440,17.31113,1069,8710,12.27324,891,7849,11.35176,1531238005,9897,154717.38961,9.8,10060,0.97415
광주가톨릭대학교,사립,전남,61,61,102,102,102,0,1073552082,0.0,148960000,1073552082,13.87543,268155000,1073552082,24.97829,151460170,151460170,100.0,268155000,614064562,43.66886,2811728359,0,0,38.125,8,8,100,125,0,0,13680000,240,57000.0,0,15,0,4,15,0.26666,0,15,0,1,15,0.06666,0,15,0,1.87301,102,20,5.09999,0,0,0,223,102,218.62745,223,101,220.79207,104000000,97,1072164.94845,2,102,19.60784
광주대학교,사립,광주,4479,4900,5401,5401,5401,35598682223,68558223711,51.92474,502833747,68558223711,0.73344,500000000,68558223711,0.7293,500000000,2346764460,21.30593,500000000,2196177386,22.76683,65785488373,35598682223,184.79753,90.53954,892,1401,63.6688,72.4,4,76.4,286715000,5213,55000.0,266790,200,1333.95,174.0166,200,0.87008,21.1237,200,0.10561,7.0055,200,0.03502,1473295,200,7366.475,5.91876,5401,135,40.0074,6140237171,32157906763,19.09402,1387,5239,26.47451,1116,4927,22.6507,346163943,5648,61289.64996,9,5401,1.66635
광주여자대학교,사립,광주,2978,3239,3494,3494,3494,21334241946,43165602383,49.42417,310384280,43165602383,0.71905,20000000,43165602383,0.04633,19000000,1215770345,1.56279,20000000,9360760666,0.21365,34993689383,21334241946,164.02593,89.69814,534,822,64.9635,67.9,4,71.9,223155000,4132.5,54000.0,132500,123,1077.23577,142.5657,123,1.15907,6.8752,123,0.05589,12.3247,123,0.1002,849709,123,6908.20325,6.79038,3494,85,41.10588,4070255609,19670770109,20.69189,1104,3329,33.16311,699,2835,24.65608,189378600,3506,54015.5733,4,3494,1.14481
